I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
100,High,0.02,6,1253.434058684334,11.394855078948492,653.990096424756,5.945364512952327,74.43405868433419,0.6766732607666743,0.29752,-0.48413,-0.09495,1179.0
100,High,0.02,7,1257.956038882354,11.435963989839578,653.990096424756,5.945364512952327,78.95603888235394,0.7177821716577629,0.29752,-0.48413,-0.09495,1179.0
100,High,0.02,8,1269.8594052189876,11.544176411081702,653.990096424756,5.945364512952327,90.85940521898756,0.8259945928998867,0.29752,-0.48413,-0.09495,1179.0
100,High,0.03,3,1229.2514840661051,11.175013491510045,653.990096424756,5.945364512952327,50.25148406610518,0.45683167332822877,0.29752,-0.48413,-0.09495,1179.0
100,High,0.03,4,1263.3106919868974,11.484642654426338,653.990096424756,5.945364512952327,84.3106919868974,0.7664608362445218,0.29752,-0.48413,-0.09495,1179.0
100,High,0.03,5,1280.3352464423429,11.639411331294024,653.990096424756,5.945364512952327,101.33524644234289,0.9212295131122081,0.29752,-0.48413,-0.09495,1179.0
100,High,0.03,6,1290.6510880265012,11.733191709331829,653.990096424756,5.945364512952327,111.6510880265012,1.015009891150011,0.29752,-0.48413,-0.09495,1179.0
100,High,0.03,7,1297.434058323531,11.79485507566846,653.990096424756,5.945364512952327,118.43405832353096,1.0766732574866449,0.29752,-0.48413,-0.09495,1179.0
100,High,0.03,8,1315.2891078284815,11.957173707531648,653.990096424756,5.945364512952327,136.28910782848143,1.238991889349831,0.29752,-0.48413,-0.09495,1179.0
100,High,0.04,3,1246.001978754807,11.327290715952788,653.990096424756,5.945364512952327,67.00197875480691,0.6091088977709719,0.29752,-0.48413,-0.09495,1179.0
100,High,0.04,4,1291.4142559825298,11.740129599841179,653.990096424756,5.945364512952327,112.41425598252977,1.0219477816593614,0.29752,-0.48413,-0.09495,1179.0
100,High,0.04,5,1314.1136619231236,11.94648783566476,653.990096424756,5.945364512952327,135.11366192312371,1.2283060174829428,0.29752,-0.48413,-0.09495,1179.0
100,High,0.04,6,1327.8681173686682,12.071528339715165,653.990096424756,5.945364512952327,148.86811736866838,1.3533465215333487,0.29752,-0.48413,-0.09495,1179.0
100,High,0.04,7,1336.9120777647079,12.153746161497343,653.990096424756,5.945364512952327,157.91207776470787,1.4355643433155258,0.29752,-0.48413,-0.09495,1179.0
100,High,0.04,8,1360.718810437975,12.370171003981591,653.990096424756,5.945364512952327,181.71881043797512,1.6519891857997735,0.29752,-0.48413,-0.09495,1179.0
100,High,0.05,3,1262.7524734435087,11.479567940395532,653.990096424756,5.945364512952327,83.75247344350873,0.7613861222137157,0.29752,-0.48413,-0.09495,1179.0
100,High,0.05,4,1319.5178199781622,11.995616545256016,653.990096424756,5.945364512952327,140.51781997816212,1.2774347270742008,0.29752,-0.48413,-0.09495,1179.0
100,High,0.05,5,1347.892077403905,12.253564340035497,653.990096424756,5.945364512952327,168.89207740390486,1.5353825218536803,0.29752,-0.48413,-0.09495,1179.0
100,High,0.05,6,1365.0851467108353,12.409864970098504,653.990096424756,5.945364512952327,186.0851467108354,1.6916831519166853,0.29752,-0.48413,-0.09495,1179.0
100,High,0.05,7,1376.390097205885,12.512637247326227,653.990096424756,5.945364512952327,197.39009720588504,1.7944554291444093,0.29752,-0.48413,-0.09495,1179.0
100,High,0.05,8,1406.148513047469,12.783168300431534,653.990096424756,5.945364512952327,227.14851304746907,2.064986482249718,0.29752,-0.48413,-0.09495,1179.0
100,High,0.06,3,1279.5029681322103,11.631845164838273,653.990096424756,5.945364512952327,100.50296813221036,0.9136633466564575,0.29752,-0.48413,-0.09495,1179.0
100,High,0.06,4,1347.6213839737948,12.25110349067086,653.990096424756,5.945364512952327,168.6213839737948,1.5329216724890435,0.29752,-0.48413,-0.09495,1179.0
100,High,0.06,5,1381.6704928846857,12.560640844406233,653.990096424756,5.945364512952327,202.67049288468579,1.8424590262244163,0.29752,-0.48413,-0.09495,1179.0
