lambda,tau,No-Change_Feasible_%,No-Change_Undercoverage,No-Change_Undercoverage_std,Low-Fatigue_Feasible_%,Low-Fatigue_Undercoverage,Low-Fatigue_Undercoverage_std,Unrestricted_Undercoverage,Unrestricted_Undercoverage_std,Unrestricted_SC,Unrestricted_SC_std,P_end,P_end_std,B_end,B_end_std,L_tail_k7,L_tail_k7_std
1.4000000000000001,0.5,0.0,1993.84,102.31390130378179,0.0,1921.2975999999999,99.08932121192471,1921.4888,99.30373432333748,95.56,43.64867008283299,0.988888,0.011570041313668667,0.0,0.0,0.0,0.0
1.4000000000000001,0.6,0.0,1993.84,102.31390130378179,0.0,1921.7151999999999,99.23082235354093,1921.4888,99.30373432333748,95.56,43.64867008283299,0.988888,0.011570041313668667,0.0,0.0,0.0,0.0
1.4000000000000001,0.7,0.0,1993.84,102.31390130378179,0.0,1921.5704,99.25482551412802,1921.4888,99.30373432333748,95.56,43.64867008283299,0.988888,0.011570041313668667,0.0,0.0,0.0,0.0
1.4000000000000001,0.7999999999999999,0.0,1993.84,102.31390130378179,0.0,1921.1064000000001,99.49072426633549,1921.4888,99.30373432333748,95.56,43.64867008283299,0.988888,0.011570041313668667,0.0,0.0,0.0,0.0
1.4000000000000001,0.8999999999999999,0.0,1993.84,102.31390130378179,0.0,1922.2200000000003,98.83265274189499,1921.4888,99.30373432333748,95.56,43.64867008283299,0.988888,0.011570041313668667,0.010399999999999998,0.026150334605889846,0.0,0.0
1.4000000000000001,0.9999999999999999,0.0,1993.84,102.31390130378179,0.0,1993.84,102.31390130378179,1921.4888,99.30373432333748,95.56,43.64867008283299,0.988888,0.011570041313668667,0.17479999999999996,0.1741061745028016,5.8,1.833030277982336
1.4000000000000001,1.0999999999999999,0.0,1993.84,102.31390130378179,0.0,3169.72,151.13530891224593,1921.4888,99.30373432333748,95.56,43.64867008283299,0.988888,0.011570041313668667,1.0,0.0,7.0,0.0
1.5000000000000002,0.5,0.0,2274.68,108.06284097690566,0.0,2217.8528,105.66720677750497,2218.0616,105.41134358995714,70.92,37.453886313705816,0.992608,0.00999783656597766,0.0,0.0,0.0,0.0
1.5000000000000002,0.6,0.0,2274.68,108.06284097690566,0.0,2217.7024,105.56046992240984,2218.0616,105.41134358995714,70.92,37.453886313705816,0.992608,0.00999783656597766,0.0,0.0,0.0,0.0
1.5000000000000002,0.7,0.0,2274.68,108.06284097690566,0.0,2217.3952000000004,105.26858361809565,2218.0616,105.41134358995714,70.92,37.453886313705816,0.992608,0.00999783656597766,0.0,0.0,0.0,0.0
1.5000000000000002,0.7999999999999999,0.0,2274.68,108.06284097690566,0.0,2217.3208,105.13219769109743,2218.0616,105.41134358995714,70.92,37.453886313705816,0.992608,0.00999783656597766,0.0,0.0,0.0,0.0
1.5000000000000002,0.8999999999999999,0.0,2274.68,108.06284097690566,0.0,2217.5696000000003,104.74749724857392,2218.0616,105.41134358995714,70.92,37.453886313705816,0.992608,0.00999783656597766,0.005599999999999999,0.023677837739117986,0.0,0.0
1.5000000000000002,0.9999999999999999,0.0,2274.68,108.06284097690566,0.0,2274.68,108.06284097690566,2218.0616,105.41134358995714,70.92,37.453886313705816,0.992608,0.00999783656597766,0.11760000000000001,0.15396830842741632,4.96,2.1629609335353237
1.5000000000000002,1.0999999999999999,0.0,2274.68,108.06284097690566,0.0,3416.88,159.148313217577,2218.0616,105.41134358995714,70.92,37.453886313705816,0.992608,0.00999783656597766,1.0,0.0,7.0,0.0
1.6,0.5,0.0,2522.12,116.15827822415413,0.0,2471.1136,112.9957458625766,2471.0512,112.96871525586187,59.48,35.117084161416365,0.993352,0.009405918137002913,0.0,0.0,0.0,0.0
1.6,0.6,0.0,2522.12,116.15827822415413,0.0,2471.9336,113.18069753734513,2471.0512,112.96871525586187,59.48,35.117084161416365,0.993352,0.009405918137002913,0.0,0.0,0.0,0.0
1.6,0.7,0.0,2522.12,116.15827822415413,0.0,2471.4392000000003,112.87644196802094,2471.0512,112.96871525586187,59.48,35.117084161416365,0.993352,0.009405918137002913,0.0,0.0,0.0,0.0
1.6,0.7999999999999999,0.0,2522.12,116.15827822415413,0.0,2471.5648,113.29448498916442,2471.0512,112.96871525586187,59.48,35.117084161416365,0.993352,0.009405918137002913,0.0,0.0,0.0,0.0
1.6,0.8999999999999999,0.0,2522.12,116.15827822415413,0.0,2471.4224,112.73314164982716,2471.0512,112.96871525586187,59.48,35.117084161416365,0.993352,0.009405918137002913,0.0044,0.021555509736491965,0.0,0.0
1.6,0.9999999999999999,0.0,2522.12,116.15827822415413,0.0,2522.12,116.15827822415413,2471.0512,112.96871525586187,59.48,35.117084161416365,0.993352,0.009405918137002913,0.10640000000000001,0.14460650054544574,4.56,2.350829640786418
1.6,1.0999999999999999,0.0,2522.12,116.15827822415413,0.0,3632.44,166.54875082089328,2471.0512,112.96871525586187,59.48,35.117084161416365,0.993352,0.009405918137002913,1.0,0.0,7.0,0.0
1.7000000000000002,0.5,0.0,2791.76,121.21857283436395,0.0,2753.2288,119.41739519249276,2752.5272000000004,118.99533259821578,48.48,30.720833322030835,0.9948400000000001,0.006933051276314067,0.0,0.0,0.0,0.0
1.7000000000000002,0.6,0.0,2791.76,121.21857283436395,0.0,2752.1839999999997,119.23826499911843,2752.5272000000004,118.99533259821578,48.48,30.720833322030835,0.9948400000000001,0.006933051276314067,0.0,0.0,0.0,0.0
1.7000000000000002,0.7,0.0,2791.76,121.21857283436395,0.0,2752.4496000000004,118.62660762173044,2752.5272000000004,118.99533259821578,48.48,30.720833322030835,0.9948400000000001,0.006933051276314067,0.0,0.0,0.0,0.0
1.7000000000000002,0.7999999999999999,0.0,2791.76,121.21857283436395,0.0,2751.9656,118.83122734635027,2752.5272000000004,118.99533259821578,48.48,30.720833322030835,0.9948400000000001,0.006933051276314067,0.0,0.0,0.0,0.0
1.7000000000000002,0.8999999999999999,0.0,2791.76,121.21857283436395,0.0,2751.204,118.87312254668836,2752.5272000000004,118.99533259821578,48.48,30.720833322030835,0.9948400000000001,0.006933051276314067,0.0016,0.00783836717690617,0.0,0.0
1.7000000000000002,0.9999999999999999,0.0,2791.76,121.21857283436395,0.0,2791.76,121.21857283436395,2752.5272000000004,118.99533259821578,48.48,30.720833322030835,0.9948400000000001,0.006933051276314067,0.08439999999999998,0.1115376169729298,3.8,2.7422618401604177
1.7000000000000002,1.0999999999999999,0.0,2791.76,121.21857283436395,0.0,3869.24,175.23978543698345,2752.5272000000004,118.99533259821578,48.48,30.720833322030835,0.9948400000000001,0.006933051276314067,1.0,0.0,7.0,0.0
1.8000000000000003,0.5,0.0,3057.6,127.91997498436278,0.0,3028.152,127.00537261076796,3028.112,126.99098248300945,37.88,26.566625679600335,0.99592,0.0058172158288996014,0.0,0.0,0.0,0.0
1.8000000000000003,0.6,0.0,3057.6,127.91997498436278,0.0,3027.9895999999994,126.93466276726782,3028.112,126.99098248300945,37.88,26.566625679600335,0.99592,0.0058172158288996014,0.0,0.0,0.0,0.0
1.8000000000000003,0.7,0.0,3057.6,127.91997498436278,0.0,3027.8791999999994,127.12603717319286,3028.112,126.99098248300945,37.88,26.566625679600335,0.99592,0.0058172158288996014,0.0,0.0,0.0,0.0
1.8000000000000003,0.7999999999999999,0.0,3057.6,127.91997498436278,0.0,3028.1376,126.92934328294622,3028.112,126.99098248300945,37.88,26.566625679600335,0.99592,0.0058172158288996014,0.0,0.0,0.0,0.0
1.8000000000000003,0.8999999999999999,0.0,3057.6,127.91997498436278,0.0,3027.8271999999997,127.10712544999203,3028.112,126.99098248300945,37.88,26.566625679600335,0.99592,0.0058172158288996014,0.0,0.0,0.0,0.0
